Housing_own,Housing_own,Purpose_radio/TV,Age,Checking account_little,Saving accounts_rich,Sex,Saving accounts_quite rich,Checking account_rich,Job,Purpose_business,Purpose_education,Saving accounts_little,Housing_free,Housing_rent,Checking account_moderate,Credit amount,Duration
True,True,False,23,True,False,0,False,False,1,False,False,True,False,False,False,976,18
False,False,False,35,True,False,0,False,False,2,False,True,True,True,False,False,1198,6
True,True,False,29,True,False,0,False,False,2,False,False,True,False,False,False,3959,15
True,True,False,26,False,False,0,False,False,2,False,False,True,False,False,True,9960,48
True,True,True,26,True,False,1,False,False,2,False,False,True,False,False,False,4370,42
False,False,False,29,True,False,1,False,False,2,True,False,True,False,True,False,11816,45
True,True,False,28,True,False,1,False,False,2,True,False,True,False,False,False,2169,18
False,False,False,34,False,False,1,False,False,1,True,False,False,True,False,True,3844,48
True,True,True,25,False,False,1,False,False,2,False,False,True,False,False,True,1484,12
True,True,False,30,False,False,1,False,False,2,False,False,True,False,False,True,1056,18
True,True,False,28,True,False,1,False,False,2,True,False,True,False,False,False,2169,18
False,False,False,25,False,False,1,False,False,2,False,False,False,False,True,True,1264,15
False,False,False,24,True,False,0,False,False,2,False,False,True,False,True,False,1207,24
True,True,False,24,False,False,0,False,False,2,False,False,True,False,False,True,2150,30
True,True,False,27,True,False,0,False,False,0,False,True,True,False,False,False,750,18
False,False,False,34,False,False,1,False,False,1,True,False,False,True,False,True,3844,48
False,False,True,29,True,False,0,False,False,1,False,False,True,False,True,False,1659,24
False,False,False,32,True,False,0,False,False,2,False,False,True,False,True,False,1285,24
False,False,False,33,True,False,1,False,False,3,True,False,True,False,True,False,4844,48
False,False,False,30,True,False,1,True,False,2,False,False,False,True,False,False,3349,24
False,False,False,25,False,False,0,False,False,2,False,False,True,False,True,True,2969,12
False,False,False,24,True,False,0,False,False,1,False,False,False,False,True,False,11590,48
True,True,False,48,True,False,1,False,False,2,False,False,True,False,False,False,1082,12
False,False,False,20,True,False,0,False,False,2,False,False,True,False,True,False,2039,18
False,False,False,58,False,False,1,False,False,2,True,False,True,False,True,True,15945,54
True,True,False,36,False,False,1,False,False,1,True,False,True,False,False,True,4241,24
False,False,False,53,True,False,1,False,False,3,False,False,True,True,False,False,7865,12
True,True,False,40,True,False,1,False,False,1,False,False,True,False,False,False,1647,21
False,False,True,50,False,False,0,False,False,2,False,False,False,True,False,True,2671,36
True,True,False,34,False,False,0,False,False,3,False,False,True,False,False,True,2064,24
True,True,False,34,False,False,1,False,False,3,False,False,False,False,False,True,6850,15
False,False,True,23,False,False,1,False,False,2,False,False,True,False,True,True,1534,12
False,False,False,28,False,False,0,True,False,2,False,False,False,False,True,True,4113,24
False,False,False,53,True,False,1,False,False,3,False,False,True,True,False,False,7865,12
False,False,False,53,True,False,1,False,False,3,False,False,True,True,False,False,7865,12
True,True,False,34,False,False,0,False,False,3,False,True,True,False,False,True,1501,9
True,True,False,24,False,False,1,False,False,2,False,False,False,False,False,True,6560,48
False,False,False,48,False,False,0,False,True,1,False,False,False,True,False,False,1240,10
False,False,False,51,True,False,1,False,False,2,False,False,True,True,False,False,7511,18
True,True,False,31,True,False,1,False,False,1,False,False,True,False,False,False,3108,30
True,True,False,42,True,False,1,False,False,3,True,False,True,False,False,False,2292,12
True,True,False,54,True,True,1,False,False,3,True,False,False,False,False,False,4591,24
False,False,False,42,True,False,1,False,False,3,False,False,True,True,False,False,7763,48
True,True,False,31,True,False,1,False,False,2,False,False,True,False,False,False,2746,36
False,False,False,34,False,False,1,False,False,1,True,False,False,True,False,True,3844,48
True,True,False,31,True,False,1,False,False,1,False,False,True,False,False,False,3108,30
False,False,False,26,True,False,0,False,False,2,False,False,True,False,True,False,3114,18
True,True,False,28,True,False,1,False,False,2,True,False,True,False,False,False,9572,36
True,True,False,53,True,False,0,False,False,3,False,False,True,False,False,False,7485,30
True,True,False,61,False,True,1,False,False,2,False,False,False,False,False,True,1512,15
True,True,False,31,True,False,1,False,False,1,False,False,True,False,False,False,3108,30
True,True,False,53,True,False,0,False,False,3,False,False,True,False,False,False,7485,30
False,False,False,39,True,False,1,False,False,2,False,False,True,True,False,False,10297,48
True,True,False,26,False,False,0,False,False,2,False,False,True,False,False,True,9960,48
False,False,False,42,False,False,0,False,False,3,True,False,True,True,False,True,8318,27
True,True,False,29,True,False,0,False,False,2,False,False,True,False,False,False,5003,21
True,True,True,20,True,False,1,False,False,2,False,False,False,False,False,False,674,12
True,True,False,23,True,False,0,False,False,2,False,True,True,False,False,False,448,6
True,True,False,24,True,False,1,False,False,2,False,False,True,False,False,False,9629,36
False,False,False,74,False,False,0,False,False,3,False,False,True,True,False,True,5129,9
True,True,True,37,False,False,1,False,True,2,False,False,True,False,False,False,2100,18
True,True,False,34,False,False,1,False,False,3,False,False,False,False,False,True,6850,15
False,False,False,39,True,False,1,False,False,3,False,False,True,False,True,False,3345,24
False,False,False,26,True,False,0,False,False,2,False,False,True,False,True,False,3114,18
True,True,False,25,False,False,0,False,False,2,False,False,True,False,False,True,2762,12
True,True,False,24,False,False,0,False,False,2,False,False,True,False,False,True,1237,8
True,True,False,23,True,False,0,False,False,2,False,False,True,False,False,False,1943,18
True,True,True,34,False,False,1,False,True,3,False,False,True,False,False,False,1337,9
True,True,True,35,True,False,0,False,False,2,False,False,True,False,False,False,2439,24
False,False,True,39,False,False,1,False,True,2,False,False,True,True,False,False,1271,15
True,True,False,28,False,False,1,False,False,3,False,False,True,False,False,True,4249,30
True,True,False,48,True,False,1,False,False,2,False,False,True,False,False,False,1082,12
True,True,False,28,True,False,1,False,False,2,True,False,True,False,False,False,2169,18
True,True,False,60,True,False,1,False,False,1,False,False,True,False,False,False,1199,24
False,False,False,42,False,False,0,False,False,3,True,False,True,True,False,True,8318,27
False,False,False,27,True,False,1,False,False,2,True,False,True,False,True,False,7980,36
True,True,True,23,False,False,1,True,False,1,False,False,False,False,False,True,2520,27
True,True,False,34,False,False,1,False,False,3,False,False,False,False,False,True,6850,15
True,True,True,25,False,False,1,False,False,2,False,False,True,False,False,True,1484,12
False,False,False,33,True,False,1,False,False,2,False,False,True,False,True,False,950,15
True,True,False,30,False,False,1,False,False,2,False,False,True,False,False,True,1056,18
True,True,False,36,False,False,1,False,False,2,True,False,True,False,False,True,3915,27
True,True,False,50,True,False,1,False,False,2,True,False,True,False,False,False,5293,27
True,True,True,42,False,False,0,False,False,2,False,False,True,False,False,True,3804,36
True,True,False,35,True,False,1,False,False,2,False,False,True,False,False,False,691,12
True,True,True,23,False,False,1,True,False,1,False,False,False,False,False,True,2520,27
True,True,False,38,True,False,1,False,False,2,True,False,True,False,False,False,3914,48
True,True,True,23,False,False,1,True,False,1,False,False,False,False,False,True,2520,27
True,True,True,25,False,False,1,False,False,1,False,False,True,False,False,True,4746,45
True,True,True,33,True,False,0,False,False,1,False,False,True,False,False,False,797,12
False,False,False,58,False,False,1,False,False,2,True,False,True,False,True,True,15945,54
True,True,True,23,False,False,1,True,False,1,False,False,False,False,False,True,2520,27
False,False,False,33,False,False,1,False,True,2,False,True,True,False,True,False,2319,21
True,True,True,42,False,False,0,False,False,2,False,False,True,False,False,True,3804,36
True,True,False,29,True,False,1,False,False,2,False,False,True,False,False,False,5179,36
True,True,False,54,True,False,1,False,False,2,False,False,True,False,False,False,3051,48
True,True,False,30,False,False,0,False,False,3,False,False,True,False,False,True,5096,48
True,True,False,24,False,False,0,False,False,2,False,False,True,False,False,True,2150,30
True,True,False,36,True,False,1,False,False,2,False,False,True,False,False,False,1372,12
False,False,False,26,True,False,0,False,False,2,False,False,True,False,True,False,3114,18
True,True,False,28,True,False,1,False,False,2,True,False,True,False,False,False,9572,36
True,True,False,37,False,False,1,False,False,1,False,False,True,False,False,True,1922,12
True,True,True,31,True,False,0,False,False,2,False,False,True,False,False,False,6758,48
True,True,True,42,False,False,0,False,False,2,False,False,True,False,False,True,3804,36
True,True,False,31,False,False,1,False,False,2,True,False,True,False,False,True,1935,24
True,True,False,23,True,False,0,False,False,2,False,False,True,False,False,False,1943,18
True,True,True,28,False,False,1,False,False,2,False,False,True,False,False,True,3060,48
True,True,False,48,True,False,1,False,False,2,False,False,True,False,False,False,1082,12
True,True,False,23,True,False,0,False,False,2,False,True,True,False,False,False,448,6
True,True,False,48,True,False,1,False,False,2,False,False,True,False,False,False,1082,12
True,True,False,42,False,False,1,False,False,3,False,False,False,False,False,True,8086,36
False,False,False,24,True,False,1,False,False,2,False,False,True,True,False,False,4605,48
False,False,False,24,True,False,0,False,False,2,False,False,True,False,True,False,1275,15
True,True,True,25,False,False,1,False,False,1,False,False,True,False,False,True,4746,45
False,False,False,55,True,True,1,False,False,2,False,False,False,True,False,False,1555,12
True,True,False,33,False,False,0,False,False,2,False,False,True,False,False,True,1042,18
False,False,False,59,False,False,0,False,False,2,True,False,True,False,True,True,6416,48
True,True,False,28,True,False,0,False,False,3,False,False,True,False,False,False,3349,36
False,False,False,43,True,False,1,False,False,2,False,False,True,True,False,False,1333,24
False,False,False,39,True,False,1,False,False,2,False,False,True,True,False,False,10297,48
False,False,False,21,True,False,1,False,False,2,False,True,True,False,True,False,902,12
True,True,False,23,True,False,0,False,False,2,False,True,True,False,False,False,448,6
True,True,False,30,True,True,0,False,False,2,False,False,False,False,False,False,960,15
True,True,True,36,False,False,1,False,False,2,False,False,True,False,False,True,2337,36
True,True,False,21,True,False,1,False,False,1,False,False,True,False,False,False,1289,12
True,True,False,44,True,False,1,False,False,1,False,False,True,False,False,False,4716,6
False,False,False,57,True,True,0,False,False,2,False,False,False,False,True,False,3622,30
True,True,True,21,True,False,1,False,False,2,False,False,True,False,False,False,15653,60
True,True,False,38,False,False,1,False,False,1,False,False,True,False,False,True,1308,15
True,True,False,22,False,False,1,False,False,2,False,False,True,False,False,True,3832,30
True,True,False,37,True,False,1,False,False,2,False,False,True,False,False,False,3535,36
True,True,True,28,True,False,1,False,False,2,False,False,True,False,False,False,2284,24
True,True,False,26,False,False,1,False,True,2,False,False,True,False,False,False,1330,12
True,True,False,32,False,False,1,False,False,2,False,True,True,False,False,True,2273,36
True,True,False,24,True,False,1,False,False,1,False,False,True,False,False,False,3763,21
True,True,True,26,True,False,1,False,False,2,False,False,False,False,False,False,1311,24
True,True,True,29,False,False,1,False,False,2,False,False,True,False,False,True,1103,12
True,True,True,50,False,False,1,False,False,2,False,False,True,False,False,True,1537,15
True,True,False,27,True,False,1,False,False,1,False,False,True,False,False,False,2708,15
True,True,False,33,True,True,1,False,False,2,False,False,False,False,False,False,1543,6
True,True,False,55,False,False,0,False,True,3,False,False,True,False,False,False,1424,12
True,True,False,45,True,False,1,False,False,2,False,False,True,False,False,False,10875,36
False,False,False,37,True,False,0,True,False,2,False,False,False,False,True,False,1402,12
False,False,False,36,False,False,1,False,False,3,False,False,True,True,False,True,12169,48
False,False,False,22,True,False,1,False,False,2,False,False,True,True,False,False,3973,14
True,True,False,42,True,False,1,False,False,2,False,False,True,False,False,False,2577,12
True,True,True,43,True,True,0,False,False,1,False,False,False,False,False,False,1516,24
False,False,False,61,False,False,1,False,False,2,False,True,True,True,False,True,1239,18
True,True,False,30,True,False,1,False,False,3,False,False,True,False,False,False,3959,36
False,False,False,32,True,False,1,True,False,2,False,False,False,False,True,False,3062,24
False,False,True,25,False,False,1,True,False,2,False,False,False,False,True,True,3213,18
True,True,True,49,False,False,1,False,True,1,False,False,True,False,False,False,1445,18
True,True,True,27,True,False,1,False,False,2,False,False,True,False,False,False,1053,15
True,True,False,43,True,False,1,False,False,3,False,False,True,False,False,False,15857,36
True,True,False,36,True,True,0,False,False,1,True,False,False,False,False,False,1572,21
True,True,True,27,False,False,0,False,False,2,False,False,True,False,False,True,2930,12
True,True,False,46,False,False,1,False,True,2,False,False,True,False,False,False,1343,6
False,False,False,28,False,False,1,False,False,2,False,False,True,False,True,True,3617,12
True,True,False,35,False,False,1,False,False,0,False,False,True,False,False,True,1549,9
True,True,False,36,False,False,1,False,False,2,False,False,True,False,False,True,2181,30
False,False,False,55,False,False,1,False,False,3,False,False,True,True,False,True,9283,42
True,True,True,25,True,False,0,False,False,2,False,False,True,False,False,False,3509,18
True,True,False,48,True,False,1,False,False,2,False,False,True,False,False,False,2134,9
True,True,True,29,True,False,1,False,False,2,False,False,True,False,False,False,1169,18
True,True,False,31,False,False,1,False,False,1,False,True,True,False,False,True,1410,12
True,True,False,36,True,False,0,False,False,2,False,False,True,False,False,False,1028,18
True,True,False,32,True,False,1,True,False,2,False,False,False,False,False,False,2978,6
True,True,True,38,True,False,1,False,False,2,False,False,True,False,False,False,804,12
True,True,True,26,True,False,0,False,False,2,False,False,True,False,False,False,3181,24
True,True,False,40,True,False,0,True,False,2,False,False,False,False,False,False,7678,36
False,False,False,21,True,False,0,False,False,2,False,False,True,False,True,False,1049,18
True,True,False,25,True,False,1,False,False,2,True,False,True,False,False,False,8072,30
True,True,True,30,True,False,1,True,False,3,False,False,False,False,False,False,2333,30
True,True,False,27,True,False,0,False,False,2,True,False,True,False,False,False,1185,12
True,True,False,41,True,True,0,False,False,1,False,False,False,False,False,False,250,6
True,True,False,40,False,True,0,False,False,2,False,False,False,False,False,True,1322,11
False,False,True,23,True,False,1,False,False,1,False,False,True,False,True,False,1936,18
False,False,False,33,True,False,0,False,False,1,False,False,True,False,True,False,2186,15
True,True,False,52,True,False,1,True,False,2,False,True,False,False,False,False,936,9
False,False,False,29,False,True,0,False,False,2,False,False,False,False,True,True,7758,24
True,True,True,45,True,False,1,True,False,1,False,False,False,False,False,False,1750,6
True,True,False,26,True,False,0,False,False,2,False,False,True,False,False,False,763,12
True,True,False,26,True,False,1,False,False,2,False,False,True,False,False,False,5248,21
False,False,False,63,True,False,1,False,False,3,False,False,True,True,False,False,13756,60
True,True,True,31,False,False,1,False,True,2,False,False,True,False,False,False,3148,24
True,True,False,36,True,False,1,True,False,2,False,False,False,False,False,False,4042,42
False,False,False,24,False,False,0,False,False,2,False,True,True,True,False,True,5743,24
True,True,False,24,False,False,0,False,False,2,False,False,True,False,False,True,8487,48
True,True,False,48,False,False,1,False,False,3,True,False,True,False,False,True,12204,48
False,False,True,35,True,False,1,False,False,2,False,False,True,True,False,False,1471,15
True,True,False,38,True,True,1,False,False,3,False,False,False,False,False,False,5711,36
False,False,False,36,False,False,1,False,False,3,False,False,True,False,True,True,7057,20
False,False,False,23,False,False,0,False,True,2,False,True,True,False,True,False,392,15
True,True,False,35,True,False,1,False,False,3,False,False,True,False,False,False,2670,24
